Timestamps,price(INR)
"2022-01-06 , 16:12:53.605909",49999.0
"2022-01-08 , 11:32:20.526223",40999.0
"2022-01-08 , 11:35:40.940600",40999.0
"2022-01-08 , 11:35:58.831307",40999.0
